location,company,ad_date,salary,role,title,job_description,work_type,url
Sydney,SustainAbility Consulting,1d ago,"$100,000 - $120,000",cyber-security-analyst,Cyber Security Analyst,"Join a thriving cyber security team, as they embark on an exciting security uplift project. Make a big impact in a leading Australian insurance org! 
 []",Full time,https://www.seek.com.au/job/72271417
Sydney,Experis,5d ago,Up to $130k p.a. + Super,soc-analyst,Cyber SOC Analyst,"Reputed Telecommunication client is hiring for Cyber SOC Analyst! Permanent opportunity with bonus! 
 []",Full time,https://www.seek.com.au/job/72215192
Sydney,Hollard Insurance,1d ago,,cyber-security-analyst,Cyber Security Analyst,"A great opportunity to further your career in a state of the art Cyber Security Operations with the latest technologies. 
 [Join us on a Transformative journey! Open to Sydney candidates only - Hybrid / Work from home opportunity Great company benefits with ongoing training and development.]",Full time,https://www.seek.com.au/job/72262621
Canberra,Australian Department of Defence,17h ago,"$80,487 - $86,211 (APS 5) + Super and 15% BDCP",project-officer,Cyber Security Project Officer,"We’re looking for enthusiastic individuals with a passion for cyber security to join our team. 
 [15% BDCP Free parking 15.4% Superannuation]",Full time,https://www.seek.com.au/job/72286531
Perth,,5d ago,,information-security-officer,Information Security Officer,"Are you passionate about information security and continuously strive for improvement ? 
 [Truly agile & customer focussed business Progressive role that builds organisational resilience though data security We offer something a bit different, and it's a good different!]",Full time,https://www.seek.com.au/job/72209250
Melbourne,Clarrow,5d ago,183k - 194k inc Super,cyber-security-analyst,Lead Cyber Security Analyst - 183k - 194k inc super,"Working as a 2iC to the GM, lots of greenfield projects and chance to make a difference. 
 []",Full time,https://www.seek.com.au/job/72215112
Melbourne,M.A. Services Group,4d ago,"$90,000 – $110,000 per year",cyber-security-specialist,Cyber Security Specialist,"You will be joining a rapidly growing organisation where you will thrive and have the willingness to go the extra mile. 
 [You will be reporting to and working closely with the National Digital Manager Learning and development opportunities]",Full time,https://www.seek.com.au/job/72228328
Brisbane,The Decipher Bureau,15h ago,Up to $150k + super,cyber-security-specialist,OT Application and Infrastructure Cyber Security Specialist,"Ready to safeguard Critical National Infrastructure? Decipher Bureau's client is seeking you as an Operational Technology Cyber Security Specialist. 
 [Brisbane Based Only - (Flexible working arrangements) Australian citizens Only January 2024 Start]",Full time,https://www.seek.com.au/job/72290381
Perth,Professional Search Group,12h ago,Competitive,security-analyst,Security Analyst,"Join a dynamic team in the heart of Perth's CBD, ready to start a new role in the new year! 
 []",Full time,https://www.seek.com.au/job/72308239
Sydney,Hudson,4d ago,$120k - $150k plus superannuation,cyber-security-specialist,Cyber Security Specialist,"Sydney-based cybersecurity specialist with strong technical skills and proactive cybersecurity approach. 
 []",Full time,https://www.seek.com.au/job/72236679
